Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	2	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	4	0	0.225
10	4	0	0.25
11	5	0	0.275
12	5	0	0.3
13	5	0	0.325
14	6	0	0.35
15	6	0	0.375
16	6	0	0.4
17	7	0	0.425
18	7	0	0.45
19	7	0	0.475
20	8	0	0.5
21	8	0	0.525
22	8	0	0.55
23	9	0	0.575
24	9	0	0.6
25	9	0	0.625
26	11	0	0.65
27	11	0	0.675
28	12	0	0.7
29	12	0	0.725
30	12	0	0.75
31	13	0	0.775
32	13	0	0.8
33	14	0	0.825
34	14	0	0.85
35	14	0	0.875
36	15	0	0.9
37	15	0	0.925
38	15	0	0.95
39	16	0	0.975
40	16	0	1
41	16	0	1.025
42	17	0	1.05
43	17	0	1.075
44	18	0	1.1
45	18	0	1.125
46	19	0	1.15
47	19	0	1.175
48	20	0	1.2
49	20	0	1.225
50	20	0	1.25
