Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	1149.46	0	0	3
2	3	0	0.05	0	0	0	0	0	0	0	1149.47	0	0	3
3	3	0	0.075	0	0	0	0	0	0	0	1152.1	0	0	3
4	3	0	0.1	0	0	0	0	0	0	0	1153.27	0	0	3
5	3	0	0.125	0	0	0	0	0	0	0	1153.69	0	0	3
6	4	0	0.15	0	0	0	0	0	0	0	1153.69	0	0	3
7	4	0	0.175	0	0	0	0	0	0	0	1153.46	0	0	3
8	4	0	0.2	0	0	0	0	0	0	0	1153.14	0	0	3
9	4	0	0.225	0	0	0	0	0	0	0	1152.82	0	0	3
10	5	0	0.25	0	0	0	0	0	0	0	1152.53	0	0	3
11	5	0	0.275	0	0	0	0	0	0	0	1152.26	0	0	3
12	5	0	0.3	0	0	0	0	0	0	0	1152.04	0	0	3
13	5	0	0.325	0	0	0	0	0	0	0	1151.84	0	0	3
14	5	0	0.35	0	0	0	0	0	0	0	1151.68	0	0	3
15	6	0	0.375	0	0	0	0	0	0	0	1152.17	0	0	3
16	6	0	0.4	0	0	0	0	0	0	0	1156.99	0	0	3
17	6	0	0.425	0	0	0	0	0	0	0	1163.47	0	0	3
18	6	0	0.45	0	0	0	0	0	0	0	1169.5	0	0	3
19	7	0	0.475	0	0	0	0	0	0	0	1169.58	0	0	3
20	7	0	0.5	0	0	0	0	0	0	0	1169.98	0	0	3
21	7	0	0.525	0	0	0	0	0	0	0	1169.99	0	0	3
22	7	0	0.55	0	0	0	0	0	0	0	1159.72	0	0	3
23	8	0	0.575	0	0	0	0	0	0	0	1151.22	0	0	3
24	8	0	0.6	0	0	0	0	0	0	0	1161.39	0	0	3
25	8	0	0.625	0	0	0	0	0	0	0	1218.81	0	0	3
26	8	0	0.65	0	0	0	0	0	0	0	1266.33	0	0	3
27	9	0	0.675	0	0	0	0	0	0	0	1296.66	0	0	3
28	9	0	0.7	0	0	0	0	0	0	0	1302.66	0	0	3
29	9	0	0.725	0	0	0	0	0	0	0	1319.5	0	0	3
30	9	0	0.75	0	0	0	0	0	0	0	1319.49	0	0	3
31	10	0	0.775	0	0	0	0	0	0	0	1330.48	0	0	3
32	10	0	0.8	0	0	0	0	0	0	0	1325.04	0	0	3
33	10	0	0.825	0	0	0	0	0	0	0	1336.7	0	0	3
34	11	0	0.85	0	0	0	0	0	0	0	1327.27	0	0	3
35	11	0	0.875	0	0	0	0	0	0	0	1336.46	0	0	3
36	11	0	0.9	0	0	0	0	0	0	0	1316.05	0	0	3
37	11	0	0.925	0	0	0	0	0	0	0	1333.32	0	0	3
38	12	0	0.95	0	0	0	0	0	0	0	1318.99	0	0	3
39	12	0	0.975	0	0	0	0	0	0	0	1337.16	0	0	3
40	12	0	1	0	0	0	0	0	0	100	1322.89	0	0	3
41	12	0	1.025	0	0	0	0	0	0	100	1335.3	0	0	3
42	13	0	1.05	0	0	0	0	0	0	100	1323.24	0	0	3
43	13	0	1.075	0	0	0	0	0	0	100	1340.08	0	0	3
44	13	0	1.1	0	0	0	0	0	0	100	1327.48	0	0	3
45	13	0	1.125	0	0	0	0	0	0	100	1335.07	0	0	3
46	14	0	1.15	0	0	0	0	0	0	100	1333.21	0	0	3
47	14	0	1.175	0	0	0	0	0	0	100	1334.68	0	0	3
48	14	0	1.2	0	0	0	0	0	0	100	1332.97	0	0	3
